#,Name,Email,Area of Study,Year,Language 1,Language 2,To Learn 1,To Learn 2,To Learn 3,Interest 1,Interest 2,Interest 3,Personality
1,Tiera Anglada,Tiera.Anglada@test.com,Management,Freshman,English,n/a,Italian,Turkish,n/a,Photography,Drawing,Cooking,1
2,Jo Carithers,Jo.Carithers@test.com,Education,Post-Doc,Mandarin,n/a,English,German,n/a,Music,Movies,Traveling,4
3,Zackary Chrisman,Zackary.Chrisman@test.com,Physics,Post-Doc,Spanish,n/a,Japanese,Italian,Korean,Volunteering,Concerts,n/a,5
4,Jettie Lamorella,Jettie.Lamorella@test.com,Economics,Sophomore,French,n/a,Japanese,Italian,n/a,Walks,Sports,Food,3
5,Suzette Corl,Suzette.Corl@test.com,Language,Graduate,Turkish,n/a,Korean,Italian,n/a,Drawing,n/a,Traveling,1
6,Ezra Kum,Ezra.Kum@test.com,Language,Sophomore,Mandarin,n/a,Italian,French,n/a,Photography,Sports,n/a,3
7,Eda Brumwell,Eda.Brumwell@test.com,Education,Spouse/Partner of Student/Post-Doc,Japanese,n/a,German,English,n/a,Sports,Photography,n/a,3
8,Francesco Luter,Francesco.Luter@test.com,History,Freshman,Spanish,n/a,Japanese,French,n/a,Yoga,Photography,n/a,4
9,Rolanda Desutter,Rolanda.Desutter@test.com,Economics,Spouse/Partner of Student/Post-Doc,Japanese,French,Spanish,Turkish,n/a,Video Games,Volunteering,n/a,3
10,Dusti Brighi,Dusti.Brighi@test.com,Geography,Freshman,Spanish,Mandarin,English,Japanese,n/a,Traveling,Outdoors,Walks,4
11,Rosia Trbovich,Rosia.Trbovich@test.com,Art history,PhD,Japanese,n/a,Korean,Mandarin,n/a,Music,Concerts,n/a,1
12,Fredric Ros,Fredric.Ros@test.com,Psychology,Graduate,German,English,Japanese,Italian,n/a,Concerts,Traveling,Movies,5
13,Else Sater,Else.Sater@test.com,Literature,Junior,Japanese,Mandarin,Turkish,French,n/a,Music,Food,n/a,1
14,Maisha Dibernardo,Maisha.Dibernardo@test.com,Engineering,PhD,English,n/a,Mandarin,n/a,French,Music,Walks,n/a,4
15,Juanita Haggen,Juanita.Haggen@test.com,Physics,Sophomore,Mandarin,n/a,English,Italian,n/a,Yoga,Video Games,n/a,3
16,Tamara Graziano,Tamara.Graziano@test.com,History,Senior,Mandarin,Turkish,Korean,Spanish,n/a,Fitness,Cooking,n/a,3
17,Juliann Fuhrmeister,Juliann.Fuhrmeister@test.com,Theater,Sophomore,Korean,n/a,German,Mandarin,n/a,Cooking,Food,Music,3
18,Zonia Verfaille,Zonia.Verfaille@test.com,Management,Senior,Mandarin,n/a,English,Korean,n/a,Food,Video Games,Volunteering,1
19,Samatha Adduci,Samatha.Adduci@test.com,Anthropology,Sophomore,Korean,n/a,Italian,English,n/a,Photography,Fitness,Cooking,3
20,Wan Negrisor,Wan.Negrisor@test.com,Language,Freshman,German,n/a,Spanish,Mandarin,n/a,Sports,Reading,Movies,4
21,Manuel Grengs,Manuel.Grengs@test.com,Ethnic and Cultural Studies,Sophomore,Japanese,n/a,French,English,Italian,Reading,Cooking,Food,3
22,Joyce Ceravolo,Joyce.Ceravolo@test.com,Literature,Graduate,English,Italian,Korean,Mandarin,n/a,Movies,Yoga,Cooking,5
23,Dawn Heuangvilay,Dawn.Heuangvilay@test.com,Journalism,Post-Doc,Spanish,n/a,French,English,n/a,Concerts,Reading,Photography,5
